unix_time,readable_time_utc0,t0,t1,t0_fees,t1_fees,t0_t1_name,total_value,unclaimed,rate
1761276464,2025-10-24 03:27:44,69607.53819548052,50591.75595896839,3.6986220977644595,2.8042449090346855,Aster/Tether USD,127143.59257588437,6.871854852955435,1.0997635974703432
1761276586,2025-10-24 03:29:46,69839.45113395069,50336.99097727941,4.09386219340284,2.8042449090346855,Aster/Tether USD,126967.43297431545,7.29618269293446,1.0972371740158777
1761276607,2025-10-24 03:30:07,69839.45113395069,50336.99097727941,4.09386219340284,2.8042449090346855,Aster/Tether USD,126967.43297431545,7.29618269293446,1.0972371740158777
1761276680,2025-10-24 03:31:20,69849.16179182984,50326.33638217375,4.1647308974772885,2.8042449090346855,Aster/Tether USD,126967.43327401896,7.3739424695192755,1.0972371740158777
1761278409,2025-10-24 04:00:09,69795.13133567796,50385.63211668851,5.699832356584143,4.644257166281268,Aster/Tether USD,126998.08210379665,10.900827116031929,1.0976761347241035
1761280208,2025-10-24 04:30:08,68811.83582673816,51470.39185565116,0.0,0.34968018736845685,Aster/Tether USD,127754.95560489809,0.34968018736845685,1.1085965493105634
1761282009,2025-10-24 05:00:09,66106.86835135924,54510.71809773733,1.2887067307034807,6.979121387265286,Aster/Tether USD,129839.78842202947,8.447608435064685,1.1395044448924236
1761283808,2025-10-24 05:30:08,66332.06891906617,54254.39379900739,3.468093581686516,9.023965155909089,Aster/Tether USD,129666.44253300085,12.966794717207739,1.1368867270822816
1761285610,2025-10-24 06:00:10,66687.50446173661,53851.032209328805,5.317279785854934,10.435413790671902,Aster/Tether USD,129387.18347624748,16.458234009762883,1.1326882281261428
1761287407,2025-10-24 06:30:07,66558.33037537933,53997.45471778739,8.564285914140946,14.373258489186167,Aster/Tether USD,129485.35763184009,24.086542761323024,1.1341616066435543
1761289208,2025-10-24 07:00:08,66182.72004823353,54424.317495322066,9.945424613065244,16.670462703577094,Aster/Tether USD,129779.51590295302,27.994256050533536,1.138593251421407
1761291007,2025-10-24 07:30:07,66801.66340217984,53721.79012370934,0.8339679499816219,0.06429628464543578,Aster/Tether USD,129304.06579264242,1.0078834991594545,1.1314430183255992
1761292810,2025-10-24 08:00:10,67869.96876076782,52519.578338328,3.2766440446668987,0.7607731362776323,Aster/Tether USD,128478.14535629252,4.4279206361997945,1.1191778691649008
1761294607,2025-10-24 08:30:07,68642.38160688501,51658.41875403492,5.929350779909918,2.114830532044858,Aster/Tether USD,127884.59408572839,8.69927182869114,1.1104826718898078
1761296413,2025-10-24 09:00:13,68647.38177845426,51652.86594648115,9.57933637362147,6.327268708790463,Aster/Tether USD,127884.59388205875,16.964955759900853,1.1104826718898078
